,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
11,22011,2544,0021100794,"APR 03, 2012",MIA vs. PHI,W,38,15,25,0.6,1,2,0.5,10,13,0.769,3,3,6,4,3,1,4,0,41,12,0,2011-12,Regular
12,22011,2544,0021100778,"APR 01, 2012",MIA @ BOS,L,35,11,20,0.55,0,0,0.0,1,2,0.5,2,2,4,0,0,1,2,1,23,-30,0,2011-12,Regular
13,22011,2544,0021100757,"MAR 30, 2012",MIA @ TOR,W,39,11,18,0.611,0,2,0.0,4,6,0.667,1,3,4,9,1,0,3,0,26,9,0,2011-12,Regular
14,22011,2544,0021100754,"MAR 29, 2012",MIA vs. DAL,W,36,8,16,0.5,0,2,0.0,3,3,1.0,3,6,9,5,2,0,3,3,19,9,0,2011-12,Regular
15,22011,2544,0021100730,"MAR 26, 2012",MIA @ IND,L,41,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,1,24,-14,0,2011-12,Regular
16,22011,2544,0021100724,"MAR 25, 2012",MIA @ OKC,L,40,8,18,0.444,0,3,0.0,1,1,1.0,0,3,3,7,2,0,4,2,17,-10,0,2011-12,Regular
17,22011,2544,0021100704,"MAR 23, 2012",MIA @ DET,W,37,6,15,0.4,0,3,0.0,5,5,1.0,0,6,6,10,4,1,5,0,17,8,0,2011-12,Regular
18,22011,2544,0021100678,"MAR 20, 2012",MIA vs. PHX,W,38,8,18,0.444,0,3,0.0,4,6,0.667,1,7,8,6,2,2,3,2,20,15,0,2011-12,Regular
19,22011,2544,0021100666,"MAR 18, 2012",MIA vs. ORL,W,39,4,14,0.286,0,1,0.0,6,8,0.75,0,12,12,7,5,0,4,4,14,13,0,2011-12,Regular
20,22011,2544,0021100643,"MAR 16, 2012",MIA @ PHI,W,38,12,20,0.6,0,2,0.0,5,8,0.625,2,5,7,8,2,2,1,0,29,10,0,2011-12,Regular
21,22011,2544,0021100629,"MAR 14, 2012",MIA @ CHI,L,40,14,25,0.56,2,3,0.667,5,5,1.0,1,4,5,4,4,0,2,2,35,5,0,2011-12,Regular
22,22011,2544,0021100618,"MAR 13, 2012",MIA @ ORL,L,42,7,20,0.35,2,4,0.5,3,3,1.0,3,8,11,8,1,1,6,0,19,0,0,2011-12,Regular
23,22011,2544,0021100595,"MAR 10, 2012",MIA vs. IND,W,47,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,1,27,3,0,2011-12,Regular
24,22011,2544,0021100573,"MAR 07, 2012",MIA vs. ATL,W,42,12,20,0.6,0,3,0.0,7,10,0.7,4,7,11,2,1,2,2,1,31,7,0,2011-12,Regular
25,22011,2544,0021100566,"MAR 06, 2012",MIA vs. NJN,W,30,9,11,0.818,1,1,1.0,2,2,1.0,1,8,9,6,0,0,5,0,21,20,0,2011-12,Regular
26,22011,2544,0021100547,"MAR 04, 2012",MIA @ LAL,L,43,12,26,0.462,0,4,0.0,1,3,0.333,7,6,13,7,3,2,3,1,25,-13,0,2011-12,Regular
27,22011,2544,0021100536,"MAR 02, 2012",MIA @ UTA,L,44,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,2,35,7,0,2011-12,Regular
28,22011,2544,0021100527,"MAR 01, 2012",MIA @ POR,W,41,13,22,0.591,2,2,1.0,10,12,0.833,2,9,11,6,5,1,0,1,38,8,0,2011-12,Regular
29,22011,2544,0021100499,"FEB 23, 2012",MIA vs. NYK,W,41,7,16,0.438,0,0,0.0,6,6,1.0,1,8,9,8,5,2,4,3,20,12,0,2011-12,Regular
30,22011,2544,0021100483,"FEB 21, 2012",MIA vs. SAC,W,33,7,11,0.636,2,2,1.0,2,2,1.0,0,4,4,8,0,2,3,1,18,7,0,2011-12,Regular
31,22011,2544,0021100461,"FEB 19, 2012",MIA vs. ORL,W,37,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,2,25,23,0,2011-12,Regular
32,22011,2544,0021100449,"FEB 17, 2012",MIA @ CLE,W,30,11,19,0.579,3,5,0.6,3,3,1.0,2,3,5,5,1,1,2,2,28,27,0,2011-12,Regular
33,22011,2544,0021100421,"FEB 14, 2012",MIA @ IND,W,33,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,2,23,27,0,2011-12,Regular
34,22011,2544,0021100416,"FEB 13, 2012",MIA @ MIL,W,33,16,21,0.762,0,0,0.0,3,3,1.0,3,5,8,3,1,0,2,3,35,14,0,2011-12,Regular
35,22011,2544,0021100411,"FEB 12, 2012",MIA @ ATL,W,30,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,1,23,26,0,2011-12,Regular
36,22011,2544,0021100390,"FEB 10, 2012",MIA @ WAS,W,33,6,14,0.429,0,2,0.0,6,7,0.857,0,2,2,9,0,2,1,1,18,14,0,2011-12,Regular
37,22011,2544,0021100376,"FEB 08, 2012",MIA @ ORL,L,39,5,15,0.333,0,2,0.0,7,10,0.7,0,6,6,10,3,0,3,0,17,-1,0,2011-12,Regular
38,22011,2544,0021100369,"FEB 07, 2012",MIA vs. CLE,W,39,9,16,0.563,0,1,0.0,6,7,0.857,1,4,5,6,2,0,6,1,24,5,0,2011-12,Regular
39,22011,2544,0021100356,"FEB 05, 2012",MIA vs. TOR,W,38,10,17,0.588,0,1,0.0,10,12,0.833,0,9,9,2,1,0,5,1,30,11,0,2011-12,Regular
40,22011,2544,0021100333,"FEB 03, 2012",MIA @ PHI,W,37,8,16,0.5,0,1,0.0,3,6,0.5,1,11,12,8,0,2,2,2,19,19,0,2011-12,Regular
41,22011,2544,0021100319,"FEB 01, 2012",MIA @ MIL,L,40,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,1,40,-6,0,2011-12,Regular
42,22011,2544,0021100301,"JAN 30, 2012",MIA vs. NOH,W,30,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,1,22,29,0,2011-12,Regular
43,22011,2544,0021100291,"JAN 29, 2012",MIA vs. CHI,W,41,12,23,0.522,1,1,1.0,10,15,0.667,1,10,11,5,0,1,6,2,35,3,0,2011-12,Regular
44,22011,2544,0021100276,"JAN 27, 2012",MIA vs. NYK,W,40,11,18,0.611,0,2,0.0,9,10,0.9,1,7,8,7,0,0,4,2,31,4,0,2011-12,Regular
45,22011,2544,0021100260,"JAN 25, 2012",MIA @ DET,W,42,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,3,32,6,0,2011-12,Regular
46,22011,2544,0021100254,"JAN 24, 2012",MIA vs. CLE,W,38,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,1,18,9,0,2011-12,Regular
47,22011,2544,0021100240,"JAN 22, 2012",MIA vs. MIL,L,37,8,18,0.444,0,1,0.0,12,13,0.923,4,9,13,5,1,0,3,2,28,-4,0,2011-12,Regular
48,22011,2544,0021100229,"JAN 21, 2012",MIA vs. PHI,W,36,12,17,0.706,0,0,0.0,4,4,1.0,0,9,9,5,4,3,4,1,28,9,0,2011-12,Regular
49,22011,2544,0021100213,"JAN 19, 2012",MIA vs. LAL,W,37,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,4,31,0,0,2011-12,Regular
50,22011,2544,0021100197,"JAN 17, 2012",MIA vs. SAS,W,35,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,0,33,19,0,2011-12,Regular
51,22011,2544,0021100168,"JAN 13, 2012",MIA @ DEN,L,37,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,0,35,-16,0,2011-12,Regular
